ID_ATIV_ECON_ESTABELECIMENTO;LATITUDE;LONGITUDE
36019;-199.087.177;-439.637.057
36347;-199.525.796;-439.453.908
35705;-199.165.643;-439.135.717
36042;-198.534.519;-438.861.517
34840;-199.516.028;-439.478.313
34843;-198.651.483;-439.192.408
34503;-199.354.207;-439.369.552
34859;-199.306.398;-43.939.059
35192;-199.264.701;-439.226.777
34533;-199.469.379;-439.488.773
35580;-199.260.191;-439.371.484
34583;-19.913.451;-439.646.148
35624;-199.129.474;-439.681.989
35307;-199.174.447;-439.776.856
35593;-198.321.494;-439.639.974
35000;-19.925.814;-439.404.836
35370;-199.040.958;-439.971.808
34704;-199.994.004;-440.096.706
34713;-199.107.525;-439.421.664
35082;-199.786.594;-440.113.777
34735;-19.921.095;-439.869.816
35423;-198.814.446;-439.224.236
35111;-198.604.524;-439.045.219
35456;-199.304.595;-439.471.758
34459;-199.637.454;-439.455.997
34783;-199.200.215;-439.751.073
35139;-199.425.797;-439.850.542
34797;-199.340.223;-439.718.201
35156;-198.853.159;-439.602.858
35159;-198.372.779;-439.394.636
39314;-19.928.111;-439.596.885
38705;-19.922.634;-440.105.622
38386;-19.983.661;-44.009.094
38393;-199.377.855;-439.378.839
38394;-199.354.207;-439.369.552
38409;-199.858.404;-440.546.388
39055;-199.274.167;-439.771.468
38762;-198.899.927;-439.511.024
38774;-198.159.208;-439.539.137
38780;-19.871.219;-440.088.904
39113;-199.409.577;-439.418.836
39118;-199.649.779;-439.701.258
39119;-199.007.274;-439.697.515
39520;-199.901.425;-439.622.565
39527;-199.642.479;-439.835.952
38494;-199.186.817;-438.785.493
38498;-198.574.174;-439.285.862
39593;-199.895.459;-440.430.766
38839;-199.179.127;-439.728.035
38527;-198.931.966;-439.091.749
38532;-199.522.629;-439.271.345
38538;-198.978.001;-43.897.992
38861;-199.314.075;-439.347.667
38873;-198.585.215;-439.502.546
38547;-200.017.228;-440.329.775
38884;-199.177.559;-4.391.091
38892;-198.591.463;-439.658.273
38895;-198.864.042;-439.129.226
38921;-19.847.178;-439.375.241
39363;-199.554.895;-43.988.488
38596;-199.294.049;-439.754.197
39392;-199.928.462;-440.271.972
39271;-199.090.234;-43.981.921
38638;-198.530.076;-439.558.805
38658;-197.937.604;-439.854.096
37789;-19.855.913;-439.185.804
37826;-199.261.022;-439.183.799
37830;-199.201.706;-439.973.468
37837;-199.294.049;-439.754.197
37531;-20.021.924;-440.317.805
37208;-198.805.876;-439.838.016
37539;-199.223.508;-439.664.784
37554;-198.460.286;-439.765.992
